batch,rank,company_name,email,phone,website,province,contact_person,warmth,deye_knowledge,battery_experience,lead_score,hot_score,segment,notes
A0900,1,Recharged Zakelijk,info@recharged.nl,,recharged.nl,Den Hoorn (ZH),,WARM,,JA - zakelijk,67.0,0.0,installer,Zakelijke focus - goede prospect
A0900,2,Greenworld,info@greenworld.nl,077-465 30 04,greenworld.nl,Zittert (LB),,MIDDEL-WARM,NIET,JA - Pylontech/Enphase/Huawei/Growatt,53.0,0.0,installer,Sinds 2014 ervaring met thuisbatterijen in Limburg - showroom in Maasbree - 09:00-12:00 bereikbaar
A0900,3,FDB Techniek,info@fdbtechniek.nl,0518-419424,fdbtechniek.nl,Friesland (FR),,MIDDEL-WARM,NIET,JA - zonnepanelen + thuisbatterij,53.0,0.0,installer,Nij Toerenburg 15A 9076 MA Sint Annaparochie - installatiewerkzaamheden in Noordwest Friesland en heel Noord-Nederland - potentieel voor FR dekking
A0900,4,Belinus,info@belinus.com,,belinus.com,Nederland (NL),,WARM-MIDDEL,NIET,JA - batterijopslag residentieel+zakelijk,52.0,0.0,installer,Benelux focus - 40% meer zonnepaneelinstallaties 2025 - actief in NL+BE - potentieel partnership
A0900,5,Synergroen,info@synergroen.nl,,synergroen.nl,Nederland (NL),,WARM,NIET,JA - batterij + zonnepanelen,52.0,0.0,installer,EPBD richtlijn - batterij verplicht per mei 2026 - goede timing voor Deye conversie
A0900,6,Agro Zon,info@agrozon.nl,,agrozon.nl,ONBEKEND (ZH),,MIDDEL-WARM,,JA - zakelijke energieopslag,48.0,0.0,installer,Recent update - Agrarische sector focus - potentieel voor energieopslag in bedrijfspanden
A0900,7,Zonnepaneel Zeeland,info@zonnepaneelzeeland.nl,+31 (0)115 728800,zonnepaneelzeeland.nl,Terneuzen (ZL),,WARM-MIDDEL,NIET,JA - thuisbatterij,45.0,0.0,installer,Communicatielaan 254538BV Terneuzen - KVK 22058281 - InstallQ erkend - regio Zeeland
A0900,8,ElektroMakers,info@elektromakers.nl,ONBEKEND (formulier),elektromakers.nl,Zeeland (ZL),,WARM-MIDDEL,NIET,JA - thuisbatterij specialist (3.5kWh+),45.0,0.0,installer,Elektromonteur in Zeeland - Erkend installateur - regio Walcheren/Zeeland - thuisbatterijen voor particulier en zakelijk - capaciteit vanaf 3.5kW
A0900,9,PRITZ Zonnestroom,info@pritz.nl,,pritz.nl,Lelystad (FL),,MIDDEL-WARM,NIET,JA - zonnepanelen + thuisbatterij,45.0,0.0,installer,Actief in heel Flevoland (Lelystad/Almere/Urk/Emmeloord/Dronten) - totaalpakket verduurzaming - potentieel voor FL dekking
A0900,10,Nordzon,info@nordzon.nl,06 15 53 92 43,nordzon.nl,Zeewolde (FL),,WARM-MIDDEL,NIET,JA - thuisbatterij specialist FL/GV/OV/DR/Friesland/NH,45.0,0.0,installer,Levert in FL
